[ 2023-07-26 13:32:43,484 ] Using spritesheet cache size of 910
[ 2023-07-26 13:35:54,505 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:35:54,507 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:35:55,479 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:35:58,585 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:35:59,585 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:36:03,685 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:36:03,687 ] Disconnected from gameserver
[ 2023-07-26 13:36:04,817 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:36:04,835 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:36:05,608 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:36:05,792 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:45:29,680 ] Using spritesheet cache size of 910
[ 2023-07-26 13:45:30,467 ] Asset loading complete
[ 2023-07-26 13:45:47,204 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-26 13:45:47,204 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-26 13:45:47,204 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-26 13:45:47,204 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-26 13:45:47,204 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-26 13:45:47,237 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:45:47,241 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:45:51,380 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:45:52,430 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:45:56,530 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:45:56,534 ] Disconnected from gameserver
[ 2023-07-26 13:45:57,709 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:45:57,711 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:46:01,830 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:46:02,829 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:46:06,929 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:46:06,934 ] Disconnected from gameserver
[ 2023-07-26 13:46:08,071 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:46:08,080 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:46:09,041 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:46:09,342 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:48:39,109 ] Using spritesheet cache size of 910
[ 2023-07-26 13:48:39,980 ] Asset loading complete
[ 2023-07-26 13:51:21,443 ] Using spritesheet cache size of 910
[ 2023-07-26 13:51:22,208 ] Asset loading complete
[ 2023-07-26 13:51:32,397 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-26 13:51:32,397 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-26 13:51:32,397 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-26 13:51:32,397 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-26 13:51:32,397 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-26 13:51:32,433 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:51:32,437 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:51:36,566 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:51:37,567 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:51:41,666 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:51:41,669 ] Disconnected from gameserver
[ 2023-07-26 13:51:42,847 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:51:42,848 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:51:46,967 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:51:47,967 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:51:52,067 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:51:52,070 ] Disconnected from gameserver
[ 2023-07-26 13:51:53,191 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:51:53,192 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:51:54,169 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:51:57,316 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:51:58,317 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:51:59,850 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:09:08,211 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:09:12,965 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:09:12,967 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:09:13,935 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:09:17,066 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:09:18,067 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:09:22,166 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:09:22,170 ] Disconnected from gameserver
[ 2023-07-26 14:09:23,303 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:09:23,317 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:09:24,276 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:09:27,417 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:09:28,416 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:09:32,517 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:09:32,520 ] Disconnected from gameserver
[ 2023-07-26 14:09:34,737 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:09:34,738 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:09:35,714 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:09:38,816 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:09:39,816 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:09:43,917 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:09:43,919 ] Disconnected from gameserver
[ 2023-07-26 14:09:48,342 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:09:48,344 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:09:49,131 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:09:49,307 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:17:01,140 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:17:01,989 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 14:17:01,990 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:17:02,963 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:17:06,116 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:17:07,116 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:17:11,217 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:17:11,220 ] Disconnected from gameserver
[ 2023-07-26 14:17:23,087 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:17:30,487 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:17:30,488 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:17:31,464 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:17:34,616 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:17:35,616 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:17:39,160 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:19:26,806 ] Using spritesheet cache size of 910
[ 2023-07-26 14:19:28,176 ] Asset loading complete
[ 2023-07-26 14:19:38,382 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-26 14:19:38,382 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-26 14:19:38,382 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-26 14:19:38,382 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-26 14:19:38,382 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-26 14:19:38,413 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:19:38,414 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:19:38,428 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:19:38,446 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-26 14:19:38,449 ] Disconnected from gameserver
[ 2023-07-26 14:19:49,689 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:19:49,696 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:19:49,707 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:19:49,746 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-26 14:19:49,748 ] Disconnected from gameserver
[ 2023-07-26 14:19:50,668 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:19:52,488 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:24:22,371 ] Retrying to obtain clipboard.
[ 2023-07-26 14:24:22,371 ] Retrying to obtain clipboard.
[ 2023-07-26 14:24:22,422 ] Retrying to obtain clipboard.
[ 2023-07-26 14:24:24,392 ] Retrying to obtain clipboard.
[ 2023-07-26 14:24:38,504 ] Retrying to obtain clipboard.
[ 2023-07-26 14:25:33,933 ] Retrying to obtain clipboard.
[ 2023-07-26 14:26:48,257 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:26:49,308 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:26:49,310 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:26:49,320 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:26:50,276 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:27:18,746 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-26 14:27:18,785 ] Disconnected from gameserver
[ 2023-07-26 14:27:18,810 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:28:06,378 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:28:07,018 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:28:07,019 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:28:07,030 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:28:07,996 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:28:09,246 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-26 14:28:09,284 ] Disconnected from gameserver
[ 2023-07-26 14:28:09,308 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:28:40,962 ] Using spritesheet cache size of 910
[ 2023-07-26 14:28:41,824 ] Asset loading complete
[ 2023-07-26 14:28:55,197 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-26 14:28:55,197 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-26 14:28:55,197 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-26 14:28:55,198 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-26 14:28:55,198 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-26 14:28:55,228 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 14:28:55,233 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:28:55,243 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2023-07-26 14:28:58,441 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-26 14:28:58,479 ] Disconnected from gameserver
[ 2023-07-26 14:29:11,687 ] Using spritesheet cache size of 910
[ 2023-07-26 14:29:12,458 ] Asset loading complete
[ 2023-07-26 14:30:16,268 ] Using spritesheet cache size of 910
[ 2023-07-26 14:30:17,063 ] Asset loading complete
[ 2023-07-26 14:31:37,213 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-26 14:31:37,213 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-26 14:31:37,213 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-26 14:31:37,213 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-26 14:31:37,213 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-26 14:31:37,249 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:31:37,255 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:31:41,376 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:31:42,376 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:31:46,526 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 14:31:46,530 ] Disconnected from gameserver
[ 2023-07-26 14:31:47,708 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:31:47,710 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 14:31:49,385 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 14:40:27,820 ] Using spritesheet cache size of 910
[ 2023-07-26 14:40:28,619 ] Asset loading complete
[ 2023-07-26 14:40:48,472 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-26 14:40:48,472 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-26 14:40:48,472 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-26 14:40:48,472 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-26 14:40:48,472 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-26 14:40:48,505 ] Request connection to gameserver  "tcp://85.224.108.242:7172"  (unprotected:  "tcp://85.224.108.242:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-26 14:40:48,511 ] Request connection to gameserver  "tcp://85.224.108.242:7172" "Mehra"
[ 2023-07-26 14:40:48,512 ] Connected to gameserver  "tcp://85.224.108.242:7172" "Mehra"
[ 2023-07-26 14:42:23,588 ] Connection to gameserver  "tcp://85.224.108.242:7172" "Mehra"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-26 14:42:23,625 ] Disconnected from gameserver
[ 2023-07-28 21:11:51,061 ] Using spritesheet cache size of 910
[ 2023-07-28 21:11:53,967 ] Asset loading complete
[ 2023-07-29 13:52:30,108 ] Using spritesheet cache size of 910
[ 2023-07-29 13:52:32,902 ] Asset loading complete
[ 2023-07-29 13:52:42,970 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-29 13:52:42,970 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-29 13:52:42,970 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-29 13:52:42,970 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-29 13:52:42,970 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-29 13:52:43,007 ] Request connection to gameserver  "tcp://85.224.108.242:7172"  (unprotected:  "tcp://85.224.108.242:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-29 13:52:43,012 ] Request connection to gameserver  "tcp://85.224.108.242:7172" "Mehra"
[ 2023-07-29 13:52:43,013 ] Connected to gameserver  "tcp://85.224.108.242:7172" "Mehra"
[ 2023-07-29 13:52:46,759 ] Connection to gameserver  "tcp://85.224.108.242:7172" "Mehra"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-29 13:52:46,798 ] Disconnected from gameserver
[ 2023-07-29 14:08:11,283 ] Using spritesheet cache size of 910
[ 2023-07-29 14:08:12,519 ] Asset loading complete
[ 2023-07-29 14:08:22,454 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-29 14:08:22,454 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-29 14:08:22,454 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-29 14:08:22,454 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-29 14:08:22,454 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-29 14:08:22,490 ] Request connection to gameserver  "tcp://85.224.108.242:7172"  (unprotected:  "tcp://85.224.108.242:7172" )  requested (Charakter "Pohusaxi" )
[ 2023-07-29 14:08:22,492 ] Request connection to gameserver  "tcp://85.224.108.242:7172" "Mehra"
